Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,"=""0062315005""","=""9780062315007""",4,3.92,HarperOne,Paperback,182,2014,1988,2024/03/19,2024/03/09,,,read,,,,1,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",4,4.04,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,2024/03/16,2021/07/16,,,read,,,,1,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",4,4.01,Signet Classics,Mass Market Paperback,141,1996,1945,2024/01/27,2021/07/16,,,read,,,,1,0
41015249,Beren and Lúthien,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Alan  Lee","=""""","=""""",5,4.05,Houghton Mifflin Harcourt,Kindle Edition,321,2017,2017,2024/03/16,2024/03/09,,,read,,,,1,0
52357,Beowulf,Unknown,"Unknown, Unknown",Seamus Heaney,"=""0393320979""","=""9780393320978""",0,3.50,W.W. Norton & Company,Paperback,259,2001,1000,,2024/03/15,to-read,to-read (#24),to-read,,,,0,0
60880793,Good for a Girl: A Woman Running in a Man's World,Lauren Fleshman,"Fleshman, Lauren",,"=""0593296788""","=""9780593296783""",5,4.46,Penguin Press,Hardcover,288,2023,2023,2024/03/15,2024/01/25,,,read,,,,1,0
52950915,Die with Zero: Getting All You Can from Your Money and Your Life,Bill  Perkins,"Perkins, Bill",,"=""0358099765""","=""9780358099765""",3,3.89,Houghton Mifflin Harcourt,Hardcover,240,2020,2020,2024/03/11,2024/02/03,,,read,,,,1,0
854759,The Two-Income Trap: Why Middle-Class Mothers and Fathers Are Going Broke,Elizabeth Warren,"Warren, Elizabeth",Amelia Warren Tyagi,"=""0465090826""","=""9780465090822""",0,3.87,Basic Books,Hardcover,272,2003,2003,,2024/03/11,to-read,to-read (#23),to-read,,,,0,0
60931,Kindred,Octavia E. Butler,"Butler, Octavia E.",,"=""0807083690""","=""9780807083697""",5,4.31,Beacon Press,Paperback,288,2004,1979,2024/03/09,2024/02/18,,,read,"Wow... I picked this up because it's made so many of the ""Sci-fi Classics"" lists and I wanted to read more female authors in the genre. Butler is a fantastic creative writer, but what an uncomfortable read.",,,1,0
60869516,Into the Wild,Jon Krakauer,"Krakauer, Jon",,"=""""","=""""",5,4.02,Anchor,Kindle Edition,217,2015,1996,2024/02/29,2024/02/22,,,read,,,,1,0
